name,address
Paulaner Botschaft,Bochum Brückstraße 31
Trattoria Momo,Bochum Stadionring 9
Livingroom,Bochum Luisenstraße 9-13
Yamas mezé restaurant & weinbar,Bochum Massenbergstraße 1
Restaurant Franz Ferdinand,Bochum Klinikstraße 51
Hatoky Restaurant,Bochum Brüderstraße 8
Una Más - Bochum,Bochum Hans-Böckler-Straße 34
Mutter Wittig,Bochum Bongardstraße 35
Potato Bochum,Bochum Huestraße 6
Five,Bochum Hellweg 28-30
La Piazza Cafe-Osteria,Bochum Alter Markt 3
Nhy Star,Bochum Brüderstraße 5
Emma's,Bochum Hellweg 28-30
Brauhaus Rietkötter,Bochum Große Beckstraße 7
Steakhaus El Toro,Bochum Kreuzstraße 3
Begopa,Bochum Nordring 100
Taverna Avli,Bochum Luisenstraße 14
Ristorante Carmelo - Bochum,Bochum Max-Greve-Straße 32-34
Osteria al Vecchio Torchio,Bochum Springerpl. 34
Giuseppe,Bochum Gerberstraße 2
Galletto Grill,Bochum Küppersstraße 41
Masala Project(Indien Culinary Art Restaurant),Bochum Viktoriastraße 71
LEVAROSA,Bochum Herner Str. 36
Restaurant Korabi,Bochum Dorstener Str. 21
Café Tucholsky,Bochum Viktoriastraße 73
COM Vietnamese Kitchen,Bochum Huestraße 5
Restaurant Aubergine,Bochum Pieperstraße 13
Falafel Star,Bochum Hellweg 28-30
Zum Grünen Gaul,Bochum Alte Hattinger Str. 31
L'Osteria Bochum Husemann Karree,Bochum Viktoriastraße 14 a
Purino Bochum im Strätlingshof,Bochum Altenbochumer Str. 64
The ASH Bochum,Bochum Am Einkaufszentrum 4a
Bat Viet,Bochum U. Marktstraße 9
Sakura Bochum,Bochum Castroper Str. 204
TAKE - THE GOOD FOOD Bochum,Bochum Kortumstraße 49
Bratwursthaus,Bochum Kortumstraße 18
Wok‘ n Roll,Bochum Kortumstraße 36
AOSORA,Bochum Hellweg 18
Zlatanz Cucina Italiana,Bochum Huestraße 5
Citana Restaurant,Bochum Kortumstraße 29
Pablo,Bochum Goystraße 27
Hopfengarten,Bochum Hattinger Str. 237
Fiege's Stammhaus,Bochum Bongardstraße 23
kantine.wtf,Bochum Universitätsstraße 110
Hartmann's Wirtshaus,Bochum Wasserstraße 77
Parkschlösschen am Stadtpark,Bochum Bergstraße 65
Oktober Café,Bochum Willy-Brandt-Platz 5-7
Taubenschlag Gaststätte - Bochum,Bochum U. Marktstraße 7
K wie Kartoffel,Bochum Kurt-Schumacher-Platz 7
Mandragora,Bochum Konrad-Adenauer-Platz 1
